City: Elnora, IN, X-Axis: 38.8765, Y-Axis: 87.0849
City: Knox, IN, X-Axis: 41.2942, Y-Axis: 86.6226
City: Park Ridge, IL, X-Axis: 42.0118, Y-Axis: 87.8416
City: Logansport, IN, X-Axis: 40.7535, Y-Axis: 86.3605
City: Paragon, IN, X-Axis: 39.3949, Y-Axis: 86.5618
City: Avon, IN, X-Axis: 39.7632, Y-Axis: 86.3879
City: Lincolnwood, IL, X-Axis: 42.0053, Y-Axis: 87.7343
City: Beverly Shores, IN, X-Axis: 41.6843, Y-Axis: 86.9857
City: Des Plaines, IL, X-Axis: 42.0338, Y-Axis: 87.8998
City: Plainville, IN, X-Axis: 38.8054, Y-Axis: 87.152
City: Niles, IL, X-Axis: 42.0323, Y-Axis: 87.8169
City: Plainfield, IN, X-Axis: 39.6975, Y-Axis: 86.3847
City: Morton Grove, IL, X-Axis: 42.0411, Y-Axis: 87.7865
City: Town of Pines, IN, X-Axis: 41.6885, Y-Axis: 86.9463
City: Skokie, IL, X-Axis: 42.037, Y-Axis: 87.7401
City: Russiaville, IN, X-Axis: 40.4189, Y-Axis: 86.272
